symbol,name,currency,summary,category_group,category,family,exchange
^ACWI,ISHARES TRUST,USD,"The iShares MSCI ACWI ETF seeks to track the investment results of an index composed of large- and mid-capitalization developed and emerging market equities. It provides exposure to a broad range of global stocks in both developed and emerging markets. The ETF is managed by BlackRock and headquartered in San Francisco, CA.",Financials,Developed Markets,BlackRock Asset Management,NIM
^ADFI-IV,NFIELD DYNAMIC FIXED INCOME ETF,USD,"The NFIELD DYNAMIC FIXED INCOME ETF (ADFI) is an actively managed fund of funds that invests in global debt ETFs, dynamically allocating assets across various fixed-income sectors. It aims to deliver total return with capital preservation by strategically selecting and adjusting its holdings based on market conditions.",Fixed Income,Corporate Bonds,,ASE
^ADRE,INVESCO ACTIVELY M,USD,"The Invesco Active REIT ETF is an actively managed fund that invests in real estate investment trusts (REITs) across various property sectors. The fund aims to outperform traditional REIT indexes by using a proprietary, fundamental, bottom-up approach to select securities. The ETF is managed by Invesco and is headquartered in Atlanta, GA.",Real Estate,REITs,Invesco Investment Management,NIM
^ARB-EU,ALTSHARES MERGER ARBITRAGE ETF,USD,"The ALTSHARES MERGER ARBITRAGE ETF seeks capital appreciation by investing in companies globally that are the targets of publicly announced mergers, acquisitions, and tender offers. The fund aims to capture the spread between the pre-deal price and the deal price, generating returns from successful deal completions while hedging against market risk. The ETF is based out of the United States.",Alternatives,,AltShares,ASE
^ARB-IV,ALTSHARES MERGER ARBITRAGE ETF,USD,"The ALTSHARES MERGER ARBITRAGE ETF seeks capital appreciation by investing in companies globally that are the targets of publicly announced mergers, acquisitions, and tender offers. The fund aims to capture the spread between the pre-deal price and the deal price, generating returns from successful deal completions while hedging against market risk. The ETF is based out of the United States.",Alternatives,,AltShares,ASE
^ARB-NV,ALTSHARES MERGER ARBITRAGE ETF,USD,"The ALTSHARES MERGER ARBITRAGE ETF seeks capital appreciation by investing in companies globally that are the targets of publicly announced mergers, acquisitions, and tender offers. The fund aims to capture the spread between the pre-deal price and the deal price, generating returns from successful deal completions while hedging against market risk. The ETF is based out of the United States.",Alternatives,,AltShares,ASE
^ARB-TC,ALTSHARES MERGER ARBITRAGE ETF,USD,"The ALTSHARES MERGER ARBITRAGE ETF seeks capital appreciation by investing in companies globally that are the targets of publicly announced mergers, acquisitions, and tender offers. The fund aims to capture the spread between the pre-deal price and the deal price, generating returns from successful deal completions while hedging against market risk. The ETF is based out of the United States.",Alternatives,,AltShares,ASE
^ASET,FLEXSHARES TRUST,USD,,,,Flexshares Trust,NIM
^BICK,FIRST TR BICK INDE,USD,,,,First Trust Advisors,NIM
^BND,VANGUARD BD IDX FD,USD,"The Vanguard Total Bond Market ETF seeks to track the performance of a broad, market-weighted bond index. It invests in a wide spectrum of public, investment-grade, taxable, fixed income securities in the United States, including U.S. Treasuries, agency securities, and corporate bonds. The fund is managed by Vanguard and is headquartered in Malvern, Pennsylvania.",Fixed Income,Investment Grade Bonds,Vanguard Asset Management,NIM
^BNDX,VANGUARD CHARLOTTE,USD,"The Vanguard Total International Bond ETF seeks to track the performance of a broad, market-weighted index of investment-grade international bonds, excluding the U.S. dollar-denominated bonds. It provides exposure to a diverse range of investment-grade, fixed-income securities issued in various countries outside the United States. The fund is managed by Vanguard and is headquartered in Charlotte, North Carolina.",Fixed Income,Investment Grade Bonds,Vanguard Asset Management,NIM
^CDC,VICTORY PTF II,USD,,,,Victory Capital,NIM
^CID,VICTORY PTF II,USD,,,,Victory Capital,NIM
^DRIV,Global X Autonomous  Electric V,USD,"The Global X Autonomous & Electric Vehicles ETF seeks to invest in companies involved in the development of autonomous vehicle technology, electric vehicles, and related components and materials. This includes companies that produce autonomous driving software, electric vehicle batteries, and other crucial technologies for the sector. Global X ETFs is headquartered in New York, NY.",Consumer Discretionary,,Global X Funds,NIM
^EBLU-EU,ECOFIN GLOBAL WATER ESG FUND Es,USD,"The ECOFIN GLOBAL WATER ESG FUND aims to provide investment results that closely correspond, before fees and expenses, to the performance of the Ecofin Global Water ESG Index. The fund invests in companies that are materially engaged in water-related businesses and meet certain environmental, social, and governance (ESG) criteria. The ETF is managed by Ecofin and focuses on sustainable water solutions worldwide.",Utilities,,Ecofin,ASE
^EBLU-NV,ECOFIN GLOBAL WATER ESG FUND Ne,USD,"The ECOFIN GLOBAL WATER ESG FUND aims to provide investment results that closely correspond, before fees and expenses, to the performance of the Ecofin Global Water ESG Index. The fund invests in companies that are materially engaged in water-related businesses and meet certain environmental, social, and governance (ESG) criteria. The ETF is managed by Ecofin and focuses on sustainable water solutions worldwide.",Utilities,,Ecofin,ASE
^EBLU-TC,ECOFIN GLOBAL WATER ESG FUND To,USD,"The ECOFIN GLOBAL WATER ESG FUND aims to provide investment results that closely correspond, before fees and expenses, to the performance of the Ecofin Global Water ESG Index. The fund invests in companies that are materially engaged in water-related businesses and meet certain environmental, social, and governance (ESG) criteria. The ETF is managed by Ecofin and focuses on sustainable water solutions worldwide.",Utilities,,Ecofin,ASE
^EVLMC,EATON VANCE NEXTSH,USD,,,,Eaton Vance,NIM
^FIXD,FIRST TR ETF VIII,USD,,,,First Trust Advisors,NIM
^IDLB,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM
^IPKW,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM
^LDSF,FIRST TR ETF VIII,USD,,,,First Trust Advisors,NIM
^NXTG,FIRST TR EXCHGE FD,USD,,,,First Trust Advisors,NIM
^ONEQ,FIDELITY COMMWLTH,USD,"The Fidelity Nasdaq Composite ETF seeks to track the performance of the Nasdaq Composite Index. It invests in a broad range of stocks listed on the Nasdaq stock market. The ETF is managed by Fidelity and is headquartered in Boston, MA.",Information Technology,Large Cap,Fidelity Investments,NIM
^PNQI,INVESCO EXCHG TRAD,USD,"The Invesco NASDAQ Internet ETF tracks the performance of companies listed on NASDAQ that are engaged in internet-related businesses. The fund aims to provide investors with exposure to the dynamic and rapidly evolving internet sector, including companies involved in e-commerce, online content, and internet infrastructure. The ETF is managed by Invesco and is headquartered in Atlanta, GA.",Information Technology,,Invesco Investment Management,NIM
^PRFZ,INVESCO EXCHG TRAD,USD,"The Invesco FTSE RAFI US 1500 Small-Mid ETF seeks to track the investment results of the FTSE RAFI US 1500 Small-Mid Index. The fund generally invests in small and mid-sized U.S. companies based on fundamental measures such as book value, cash flow, sales and dividends. The ETF is managed by Invesco and is headquartered in Atlanta, GA.",Financials,Mid Cap,Invesco Investment Management,NIM
^PSCC,INVESCO EXCH TRDII,USD,"The Invesco S&P SmallCap Consumer Staples ETF tracks the performance of small-capitalization U.S. companies in the consumer staples sector, as defined by the Global Industry Classification Standard (GICS). It includes companies that manufacture or distribute products related to food, beverages, household goods, and personal products. The ETF is managed by Invesco and is headquartered in Atlanta, GA.",Consumer Staples,Small Cap,Invesco Investment Management,NIM
^PSCD,INVESCO EXCH TRDII,USD,"The Invesco S&P SmallCap Consumer Discretionary ETF tracks the performance of small-capitalization U.S. companies in the consumer discretionary sector, as defined by the Global Industry Classification Standard (GICS). This sector includes businesses that tend to perform well when the economy is growing and consumers are confident and willing to spend. The ETF is managed by Invesco and is headquartered in Atlanta, GA.",Consumer Discretionary,Small Cap,Invesco Investment Management,NIM
^PSCE,INVESCO EXCH TRDII,USD,"The Invesco S&P SmallCap Energy ETF tracks the performance of small-capitalization U.S. companies in the energy sector, as defined by the Global Industry Classification Standard (GICS). It focuses on companies involved in the exploration, production, refining, and transportation of oil, gas, and coal. The ETF is managed by Invesco and is headquartered in Atlanta, GA.",Energy,Small Cap,Invesco Investment Management,NIM
